iter	Passed	Remaining
431	1418	1864
432	1419	1858
433	1424	1857
434	1425	1852
435	1427	1846
436	1430	1842
437	1432	1837
438	1434	1832
439	1439	1832
440	1441	1827
441	1443	1822
442	1448	1821
443	1456	1823
444	1460	1821
445	1462	1816
446	1464	1811
447	1470	1811
448	1472	1807
449	1474	1802
450	1477	1798
451	1479	1793
452	1485	1793
453	1486	1788
454	1490	1785
455	1492	1780
456	1494	1775
457	1496	1771
458	1499	1767
459	1501	1763
460	1503	1758
461	1505	1752
462	1507	1748
463	1509	1743
464	1512	1740
465	1514	1735
466	1515	1730
467	1517	1725
468	1519	1720
469	1521	1716
470	1523	1711
471	1525	1706
472	1527	1702
473	1530	1697
474	1531	1692
475	1533	1687
476	1535	1683
477	1537	1678
478	1539	1674
479	1542	1670
480	1544	1666
481	1545	1660
482	1547	1656
483	1548	1651
484	1550	1646
485	1552	1641
486	1553	1636
487	1557	1633
488	1558	1628
489	1560	1623
490	1561	1619
491	1563	1614
492	1564	1609
493	1566	1604
494	1567	1599
495	1570	1596
496	1572	1591
497	1574	1587
498	1576	1582
499	1578	1578
500	1582	1575
501	1585	1573
502	1590	1571
503	1594	1569
504	1598	1566
505	1607	1569
506	1614	1570
507	1622	1571
508	1628	1571
509	1639	1575
510	1645	1574
511	1654	1576
512	1660	1576
513	1669	1578
514	1675	1577
515	1686	1581
516	1690	1579
517	1693	1575
518	1699	1575
519	1702	1571
520	1706	1568
521	1710	1566
522	1713	1563
523	1715	1558
524	1717	1553
525	1720	1550
526	1722	1545
527	1725	1542
528	1728	1538
529	1729	1533
530	1731	1529
531	1733	1525
532	1735	1520
533	1737	1516
534	1739	1512
535	1742	1508
536	1743	1503
537	1745	1498
538	1747	1494
539	1748	1489
540	1750	1485
541	1752	1480
542	1754	1476
543	1756	1472
544	1758	1467
545	1759	1463
546	1761	1458
547	1762	1454
548	1764	1449
549	1766	1445
550	1767	1440
551	1771	1437
552	1772	1432
553	1774	1428
554	1775	1423
555	1777	1419
556	1778	1414
557	1780	1410
558	1782	1405
559	1784	1401
560	1786	1397
561	1787	1393
562	1789	1388
563	1790	1384
564	1792	1379
565	1794	1375
566	1795	1371
567	1797	1366
568	1800	1363
569	1802	1359
570	1803	1355
571	1805	1350
572	1806	1346
573	1808	1342
574	1810	1337
575	1811	1333
576	1817	1332
577	1819	1328
